material_id,gt_band_gap,query,raw_output,pred_band_gap,label,is_correct,latency_s
mp-572892,2.2646,What is the band gap (eV) of material mp-572892? Answer with a single number.,1.3,1.3,wrong_value,False,0.6889450550079346
mp-27747,0.9294,What is the band gap (eV) of material mp-27747? Answer with a single number.,1.5,1.5,wrong_value,False,0.7264351844787598
mp-384,0.7289000000000001,What is the band gap (eV) of material mp-384? Answer with a single number.,1.5,1.5,wrong_value,False,0.9200899600982666
mp-23280,3.9873,What is the band gap (eV) of material mp-23280? Answer with a single number.,1.3,1.3,wrong_value,False,0.8120660781860352
mp-23221,3.429599999999999,What is the band gap (eV) of material mp-23221? Answer with a single number.,1.3,1.3,wrong_value,False,0.8267059326171875
mp-22909,4.0533,What is the band gap (eV) of material mp-22909? Answer with a single number.,1.3,1.3,wrong_value,False,0.8540771007537842
mp-1525121,1.687399999999999,What is the band gap (eV) of material mp-1525121? Answer with a single number.,1.3,1.3,wrong_value,False,0.9889757633209229
mp-569766,0.7871,What is the band gap (eV) of material mp-569766? Answer with a single number.,1.3,1.3,wrong_value,False,0.9225220680236816
mp-1204356,1.8389,What is the band gap (eV) of material mp-1204356? Answer with a single number.,1.5,1.5,wrong_value,False,0.819443941116333
mp-1018138,1.037,What is the band gap (eV) of material mp-1018138? Answer with a single number.,1.3,1.3,wrong_value,False,0.814784049987793
mp-13568,0.3379,What is the band gap (eV) of material mp-13568? Answer with a single number.,1.3,1.3,wrong_value,False,0.5710787773132324
mp-18388,0.5754,What is the band gap (eV) of material mp-18388? Answer with a single number.,1.3,1.3,wrong_value,False,0.7803614139556885
mp-556560,0.4936,What is the band gap (eV) of material mp-556560? Answer with a single number.,1.3,1.3,wrong_value,False,0.6181550025939941
mp-2049132,0.216299999999999,What is the band gap (eV) of material mp-2049132? Answer with a single number.,1.3,1.3,wrong_value,False,0.7977070808410645
mp-7440,0.8684000000000001,What is the band gap (eV) of material mp-7440? Answer with a single number.,1.3,1.3,wrong_value,False,0.5896458625793457
mp-1095275,0.4889,What is the band gap (eV) of material mp-1095275? Answer with a single number.,1.3,1.3,wrong_value,False,0.741995096206665
mp-568263,1.2121,What is the band gap (eV) of material mp-568263? Answer with a single number.,1.5,1.5,wrong_value,False,0.6139779090881348
mp-568348,1.8454,What is the band gap (eV) of material mp-568348? Answer with a single number.,1.3,1.3,wrong_value,False,0.819756031036377
mp-1217322,0.7062,What is the band gap (eV) of material mp-1217322? Answer with a single number.,1.3,1.3,wrong_value,False,0.9179661273956299
mp-1863,1.451899999999999,What is the band gap (eV) of material mp-1863? Answer with a single number.,1.5,1.5,ok,True,0.9212551116943359
mp-27972,4.103299999999999,What is the band gap (eV) of material mp-27972? Answer with a single number.,1.3,1.3,wrong_value,False,1.0800280570983887
mp-6949,4.0226,What is the band gap (eV) of material mp-6949? Answer with a single number.,1.5,1.5,wrong_value,False,0.7652359008789062
mp-15953,0.370499999999999,What is the band gap (eV) of material mp-15953? Answer with a single number.,1.5,1.5,wrong_value,False,0.6123461723327637
mp-23189,2.6901,What is the band gap (eV) of material mp-23189? Answer with a single number.,1.3,1.3,wrong_value,False,0.8209049701690674
mp-34202,0.3388,What is the band gap (eV) of material mp-34202? Answer with a single number.,1.3,1.3,wrong_value,False,0.7440197467803955
mp-1247,0.5099,What is the band gap (eV) of material mp-1247? Answer with a single number.,1.5,1.5,wrong_value,False,0.6895287036895752
mp-23155,8.5132,What is the band gap (eV) of material mp-23155? Answer with a single number.,1.3,1.3,wrong_value,False,0.7134318351745605
mp-886,2.007799999999999,What is the band gap (eV) of material mp-886? Answer with a single number.,1.3,1.3,wrong_value,False,0.7211549282073975
mp-1200885,0.585,What is the band gap (eV) of material mp-1200885? Answer with a single number.,1.5,1.5,wrong_value,False,0.7179169654846191
mp-540675,3.0664,What is the band gap (eV) of material mp-540675? Answer with a single number.,1.5,1.5,wrong_value,False,0.7588999271392822
