material_id,gt_band_gap,template_id,query,pred_band_gap,abs_err,label,raw_output,latency_s
mp-619575,2.5175,2,Band gap for mp-619575 (eV)? Return only the number. Output only ONE number.,1.75,0.7675000000000001,wrong_value,1.75,0.730628252029419
mp-9851,0.1063,0,What is the band gap (eV) of material mp-9851? Answer with a single number. Output only ONE number.,1.5,1.3937,wrong_value,1.5,0.9126391410827637
mp-2793,0.26279999999999903,0,What is the band gap (eV) of material mp-2793? Answer with a single number. Output only ONE number.,1.5,1.237200000000001,wrong_value,1.5,0.6323661804199219
mp-23184,4.7135,2,Band gap for mp-23184 (eV)? Return only the number. Output only ONE number.,1.75,2.9635,wrong_value,1.75,0.800983190536499
mp-1213622,0.5263,1,Give the band gap of mp-1213622 in eV. No extra text. Output only ONE number.,1.7,1.1737,wrong_value,1.7,0.8194940090179443
mp-30140,4.1443,0,What is the band gap (eV) of material mp-30140? Answer with a single number. Output only ONE number.,1.3,2.8443000000000005,wrong_value,1.3,0.818925142288208
mp-1232276,0.4328,0,What is the band gap (eV) of material mp-1232276? Answer with a single number. Output only ONE number.,1.7,1.2671999999999999,wrong_value,1.7,0.7048420906066895
mp-1227290,0.1101,0,What is the band gap (eV) of material mp-1227290? Answer with a single number. Output only ONE number.,1.5,1.3899,wrong_value,1.5,0.7273879051208496
mp-1170,1.514799999999999,2,Band gap for mp-1170 (eV)? Return only the number. Output only ONE number.,1.7,0.18520000000000092,wrong_value,1.7,0.5148298740386963
mp-32633,0.5265000000000001,0,What is the band gap (eV) of material mp-32633? Answer with a single number. Output only ONE number.,1.3,0.7735,wrong_value,1.3,0.7162890434265137
mp-1195922,0.37600000000000006,2,Band gap for mp-1195922 (eV)? Return only the number. Output only ONE number.,1.75,1.3739999999999999,wrong_value,1.75,0.6125521659851074
mp-254,7.6164000000000005,2,Band gap for mp-254 (eV)? Return only the number. Output only ONE number.,1.5,6.1164000000000005,wrong_value,1.5,0.7154402732849121
mp-18299,0.21550000000000002,2,Band gap for mp-18299 (eV)? Return only the number. Output only ONE number.,1.75,1.5345,wrong_value,1.75,0.8194029331207275
mp-23185,2.8624,0,What is the band gap (eV) of material mp-23185? Answer with a single number. Output only ONE number.,1.3,1.5624,wrong_value,1.3,0.6217620372772217
mp-23290,1.7917,2,Band gap for mp-23290 (eV)? Return only the number. Output only ONE number.,1.35,0.4417,wrong_value,1.35,0.8151187896728516
mp-30031,3.8971,1,Give the band gap of mp-30031 in eV. No extra text. Output only ONE number.,1.7,2.1971,wrong_value,1.7,0.5102977752685547
mp-555908,2.2721,0,What is the band gap (eV) of material mp-555908? Answer with a single number. Output only ONE number.,1.3,0.9721,wrong_value,1.3,0.5129921436309814
mp-22398,3.1061,0,What is the band gap (eV) of material mp-22398? Answer with a single number. Output only ONE number.,1.05,2.0561,wrong_value,1.05,0.7197389602661133
mp-27628,1.3552,0,What is the band gap (eV) of material mp-27628? Answer with a single number. Output only ONE number.,1.3,0.055199999999999916,wrong_value,1.3,0.710850715637207
mp-1212833,0.39120000000000005,0,What is the band gap (eV) of material mp-1212833? Answer with a single number. Output only ONE number.,1.3,0.9088,wrong_value,1.3,0.534045934677124
mp-571518,1.9169,0,What is the band gap (eV) of material mp-571518? Answer with a single number. Output only ONE number.,1.5,0.41690000000000005,wrong_value,1.5,0.7929980754852295
